frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.58, 0.00, 1.12, 0.69, 0.00, 1.03, 1.87, 1.99, 0.22, 0.55, 0.34, 0.03, 0.33, 0.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00
2,  0,  0.000,  0.88,  1, 0.07, 0.04, 0.36, 0.00, 1.47, 0.48, 0.00, 1.04, 2.14, 2.14, 0.24, 0.95, 0.23, 0.07, 0.22, 1.02, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.000,  0.98,  1, 0.07, 0.28, 0.53, 0.00, 1.72, 0.47, 0.00, 1.10, 2.20, 2.13, 0.16, 1.27, 0.11, 0.13, 0.21, 1.11, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.000,  0.98,  1, 0.00, 0.23, 0.57, 0.00, 1.92, 0.65, 0.01, 1.26, 2.17, 2.09, 0.13, 1.67, 0.13, 0.23, 0.36, 1.14, 0.62, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.000,  0.98,  1, 0.00, 0.23, 0.58, 0.00, 1.90, 0.48, 0.01, 1.25, 2.13, 2.09, 0.00, 1.58, 0.26, 0.18, 0.42, 1.14, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.000,  0.98,  1, 0.00, 0.25, 0.40, 0.00, 1.92, 0.67, 0.14, 1.16, 2.24, 2.21, 0.04, 1.50, 0.26, 0.10, 0.50, 1.31, 0.72, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.000,  0.98,  1, 0.00, 0.25, 0.48, 0.00, 1.87, 0.42, 0.64, 0.93, 2.07, 1.82, 0.10, 1.14, 0.33, 0.00, 0.70, 0.87, 0.91, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.000,  0.88,  1, 0.00, 0.25, 0.31, 0.00, 1.82, 0.42, 1.00, 0.92, 2.02, 1.48, 0.17, 0.77, 0.21, 0.00, 0.86, 0.58, 0.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.000,  0.82,  1, 0.00, 0.00, 0.13, 0.00, 1.73, 0.00, 1.02, 0.87, 2.05, 1.17, 0.13, 0.46, 0.21, 0.00, 0.89, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.000,  0.88,  1, 0.00, 0.00, 0.00, 0.00, 1.67, 0.10, 0.51, 0.67, 2.37, 1.42, 0.08, 0.23, 0.00, 0.00, 0.43, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
